GeneSymbol	Count
GNG4	3
GNG5	3
GNG7	3
GNG8	3
GNGT1	3
GNGT2	3
GP6	2
GPC1	1
GRB10	1
GRB2	6
GRIA1	1
GRIA2	1
GRIA4	1
GRIN2A	1
GRIN2B	1
GRK2	1
GRM1	1
GSK3A	1
GSK3B	2
GYS1	1
GYS2	1
H3F3A	1
HABP4	1
HAND1	1
HCLS1	1
HHIP	1
HIF1A	3
HIPK2	1
HIPK3	1
HIPK4	1
HMGN1	1
HMGN2	1
HNRNPA1	1
HRAS	5
HRH1	1
HSPB8	1
HTRA2	1
HTT	1
IKBKE	1
IL20RA	2
IL20RB	1
IL22RA1	2
IL23R	1
IL2RA	1
IL6ST	2
ILK	2
INHBA	1
INHBB	1
INHBC	1
INHBE	1
INSR	3
IQGAP1	1
IRS1	5
IRS4	3
ITGA2B	1
ITGA5	1
ITGAL	1
ITGAM	1
ITGAV	2
ITGB1	2
ITGB2	2
ITGB3	1
ITGB4	1
ITGB5	1
ITK	2
JAK1	6
JAK2	7
JAK3	4
JMJD7-PLA2G4B	2
JNK	1
JUN	1
KCNJ1	1
KCNJ13	1
KCNMA1	1
KDR	1
KIR2DL1	3
KIR2DL2	3
KIR2DL3	3
KIR2DL4	3
KIR2DL5A	3
KIR2DS1	3
KIR2DS2	3
KIR2DS3	3
KIR2DS4	3
KIR2DS5	3
KIR3DL1	3
KIR3DL2	3
KIR3DL3	3
KIT	3
KLKB1	1
KLRC1	3
KLRC2	3
KLRC3	3
KLRC4	3
KLRC4-KLRK1	1
KLRD1	3
KLRK1	1
KRAS	6
LAT	1
LCK	1
LCP2	1
LIPE	2
LOC101930123	2
LRP1	1
LTBP1	1
MAGEL2	1
MAP2K1	3
MAP2K2	2
MAP2K3	2
MAP2K4	2
MAP2K6	2
MAP2K7	1
MAP3K1	1
MAP3K3	3
MAP3K5	2
MAP3K7	2
MAPK1	4
MAPK10	6
MAPK11	7
MAPK12	6
MAPK13	6
MAPK14	8
MAPK3	4
MAPK6	1
MAPK8	7
MAPK9	6
MAPT	2
MARCKS	1
MAVS	1
MDM2	1
MET	2
MFN2	1
MLYCD	1
MMP2	1
MMP9	1
MOS	1
MRAS	2
MS4A2	1
MSN	2
MSTN	1
MTOR	5
MUSK	1
MYC	1
MYD88	3
MYL10	1
MYL12A	1
